#Olympe
#Number of 36-core Nodes 9 356 952 determinants 42 959 496 determinants
               1                775.55                11198.70
               5                169.88                 2288.58
              10                 93.22                 1213.95
              20                 56.86                  626.41
              30                 43.76                  445.65
              40                 36.18                  350.25
              50                 33.67                  295.25


#Irene 
#Number of 48-core Nodes 9 356 952 determinants 42 959 496 determinants
               1               572.98                  9154.30 
              10                72.55                   922.07
              25                38.88                   412.34
              50                27.95                   241.35
              75                27.54                   183.63
             100                27.86                   165.68
             150                28.14                   134.05
             200                27.77                   134.64



