# Num of dets   Ground state    Excited state  
            7    -149.489186     -149.207354
          123    -149.536265     -149.261860
         3083    -149.685606     -149.404450
        29409    -149.826151     -149.547275
       168595    -149.900352     -149.626058
      1322537    -149.946655     -149.675032
      8495334    -149.972032     -149.704145
      9356952    -149.973375     -149.706822
     42779636    -149.987370     -149.721470
    186978487    -149.998582     -149.733039


# Num of dets   Ground state    Excited state  
           7    -150.161107     -149.904883 
         123    -150.116958     -149.849465 
        3083    -150.0435       -149.7808   
       29409    -150.0222       -149.7583   
      168595    -150.0199       -149.7545   
     1322537    -150.01789      -149.75255  
     8495334    -150.01597      -149.75087  
     9356952    -150.01589      -149.75066  
    42959496    -150.01675      -149.75188  
   186978487    -150.01751      -149.75290  


